1,Guadalupe,52,56,1.3,0,0,0,0,0,0,1
2,Ramona,32,75,1.5,0,0,1,0,1,1,1
3,Rodrigo,32,100,1.9,0,0,1,0,0,0,1
4,Rafael,42,30,1.5,0,1,0,0,0,0,1
5,Emilio,32,67,1.65,0,0,0,0,1,0,1
6,Emilia,52,75,1.75,0,0,0,0,0,1,1
7,Ximena,62,80,1.4,0,0,1,1,0,0,1
8,Imelda,32,45,1.5,0,0,0,0,0,0,1
9,Irene,42,50,1.5,0,0,0,1,0,0,1
10,Irma,42,55,1.5,0,0,0,0,1,0,1
10,Isabel,52,60,1.5,0,0,0,0,0,0,1
12,Manuel,52,40,1.5,0,0,0,0,0,0,1
13,Luis,32,35,1.5,1,0,0,0,1,0,1
14,Lola,42,36,1.5,0,0,0,0,0,0,1
15,Lalita,51,37,1.5,1,0,0,0,0,0,1
16,Lolita,43,39,1.5,0,0,0,0,0,0,1
18,Ramoncito,43,78,1.8,0,0,0,0,0,1,1
20,Miguel,45,90,1.6,0,0,0,0,0,1,1
21,Magdaleno,48,63,1.6,1,1,0,0,0,1,1
19,Josefina,39,58,1.56,1,0,0,0,0,1,1
